"","State","Organization.Name","City","Type","State.y","Abbrev"
"15","CA","Diversity Collective Ventura County","Ventura","Youth Center","California","Calif."
"58","CA","Qweerty Gamers ","Van Nuys","Youth Center","California","Calif."
"82","DE","Camp Rehoboth ","Rehoboth Beach","Youth Center","Delaware","Del."
"83","DE","Sussex Pride","Rehoboth Beach","Youth Center","Delaware","Del."
"91","FL","The Sanctuary LGBTQ+ Comm Center of the Treasure Coast  ","Port Saint Lucie","Youth Center","Florida","Fla."
"104","FL","The Pride Center at Equality Park ","Ft. Lauderdale","Youth Center","Florida","Fla."
"131","IN","Spencer Pride CommUnity Center ","Spencer","Youth Center","Indiana","Ind."
"138","KS","Kansas State University LGBT Resource Center","Mahhattan","Youth Center","Kansas","Kans."
"139","KS","Haus of McCoy ","Lawrence ","Youth Center","Kansas","Kans."
"151","MD","Caroline Pride","Denton","Youth Center","Maryland","Md."
"153","MD","Delmarva Pride Center","Cordova","Youth Center","Maryland","Md."
"159","MI","Jackson Pride Center","Jackson ","Youth Center","Michigan","Mich."
"166","MI","Salus Center","Lansing ","Youth Center","Michigan","Mich."
"187","ND","Dakota Outright","Bismark","Youth Center","North Dakota","N.D."
"190","NJ","Bayard Rustin Center for Social Justice ","Princeton Jct.","Youth Center","New Jersey","N.J."
"193","NJ","Bergen County LGBTQ+ Alliance ","Bergen","Youth Center","New Jersey","N.J."
"209","NY","Focus on Awareness and Information Resources of New York, Inc. (FAIRNY) ","Dewitt","Youth Center","New York","N.Y."
"217","NY","TransNewYork ","Oakland Gardens","Youth Center","New York","N.Y."
"233","OH","Colors+ Youth Center ","Fairview","Youth Center","Ohio","Ohio"
"234","OH","Unity House at Kenyon College","Gambier","Youth Center","Ohio","Ohio"
"235","OH","Akron AIDS Collaborative/Bayard Rustin LGBTQ+ Resource Center*","Copley","Youth Center","Ohio","Ohio"
"254","PA","Eastern PA Trans Equity Project","Orefield","Youth Center","Pennsylvania","Pa."
